HTS Number,Country,District,Year,Quantity Description,Measure,Unit,Month,Value
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,0
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,0
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"111,263"
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Canada,"Anchorage, AK",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"2,859,797"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,"4,726,327"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,"5,425,492"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"4,334,582"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"4,245,079"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"5,489,823"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"4,010,178"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,"4,152,724"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,"4,318,368"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"3,443,033"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,"4,029,969"
730630,Canada,"Buffalo, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,"2,103,392"
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,0
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,"5,450"
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,"5,450"
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,0
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,0
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"43,694"
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Canada,"Cleveland, OH",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"20,529,136"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,"19,774,675"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,"24,153,497"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"18,066,425"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"21,051,750"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"20,030,451"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"17,291,202"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,"18,549,509"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,"16,920,140"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"19,697,672"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,"14,818,360"
730630,Canada,"Detroit, MI",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,"11,675,561"
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"7,774"
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,0
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,0
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,"2,763"
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,0
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Canada,"Duluth, MN",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"334,531"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,"666,241"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,"1,209,875"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"1,607,115"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"781,654"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"1,194,939"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"1,260,902"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,"1,960,368"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,"1,157,420"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"1,278,288"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,"485,374"
730630,Canada,"Great Falls, MT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,"415,993"
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,0
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,0
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"2,664"
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,0
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"83,790"
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Canada,"Laredo, TX",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,"32,587"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"2,043,688"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,"1,729,830"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,"3,420,315"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"2,772,965"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"2,693,674"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"1,004,886"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"3,146,784"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,"2,284,106"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,"1,111,249"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"2,526,948"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,"2,661,557"
730630,Canada,"Ogdensburg, NY",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,"1,001,913"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"1,611,189"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,"1,970,838"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,"2,034,640"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"3,647,863"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"6,852,641"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"2,799,338"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"3,972,861"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,"2,975,367"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,"1,735,639"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"1,760,410"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,"1,212,635"
730630,Canada,"Pembina, ND",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,"663,315"
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,0
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"4,305"
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,0
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"51,719"
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,0
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"11,576"
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,Canada,"Portland, ME",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"49,702"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,"107,653"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,"143,309"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"147,897"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"205,208"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"109,032"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"49,503"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,"136,178"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,"84,791"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"8,458"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,"61,772"
730630,Canada,"Seattle, WA",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,"92,977"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"1,642,969"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,"1,718,777"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,"1,841,563"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"2,457,745"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"2,230,653"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"2,037,110"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"1,920,582"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,"2,201,259"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,"1,445,221"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"1,934,364"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,"1,498,594"
730630,Canada,"St. Albans, VT",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,"1,202,499"
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,0
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"163,107"
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"319,842"
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"231,346"
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,0
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,0
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,0
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,India,"Baltimore, MD",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,0
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,0
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,0
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"414,927"
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"739,254"
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,0
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,0
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,0
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,"142,838"
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,0
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,November,0
730630,India,"Charleston, SC",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,December,0
730630,India,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,January,"4,919,253"
730630,India,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,February,"4,770,519"
730630,India,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,March,"6,991,777"
730630,India,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,April,"5,594,692"
730630,India,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,May,"3,953,913"
730630,India,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,June,"4,376,213"
730630,India,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,July,"2,787,335"
730630,India,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,August,"4,684,168"
730630,India,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,September,"3,437,616"
730630,India,"Chicago, IL",2022,Value for: kilograms,Landed Duty-Paid Value,In Actual,October,"2,237,994"
